year,keyword,score_logodds,count_top,count_rest,p_top,p_rest,delta
1993,escape,0.8784265763828687,1,4,0.004016064257028112,0.002224694104560623,0.0017913701524674892
1993,money,0.8784265763828687,1,4,0.004016064257028112,0.002224694104560623,0.0017913701524674892
1993,spoof,0.6771984673053932,1,5,0.004016064257028112,0.0027808676307007787,0.0012351966263273334
1993,sports,0.6771984673053932,1,5,0.004016064257028112,0.0027808676307007787,0.0012351966263273334
1993,psychopath,0.6771984673053932,1,5,0.004016064257028112,0.0027808676307007787,0.0012351966263273334
1993,california,0.6432798814649958,2,9,0.008032128514056224,0.005005561735261402,0.0030265667787948225
1993,1960s,0.5095866581436654,1,6,0.004016064257028112,0.0033370411568409346,0.0006790231001871775
1993,friendship,0.5095866581436654,1,6,0.004016064257028112,0.0033370411568409346,0.0006790231001871775
1993,dog,0.3659277787742248,1,7,0.004016064257028112,0.00389321468298109,0.00012284957404702212
1993,based_on_novel_or_book,0.2896442314555294,2,13,0.008032128514056224,0.007230255839822024,0.0008018726742342001
1993,biography,0.24020628851369796,1,8,0.004016064257028112,0.004449388209121246,-0.0004333239520931337
1993,woman_director,0.1284219941710667,1,9,0.004016064257028112,0.005005561735261402,-0.0009894974782332895
1993,new_york_city,0.027779564107075494,1,10,0.004016064257028112,0.0055617352614015575,-0.0015456710043734454
1993,japan,-0.42542989101760664,0,5,0.0,0.0027808676307007787,-0.0027808676307007787
1993,dystopia,-0.42542989101760664,0,5,0.0,0.0027808676307007787,-0.0027808676307007787
1993,1970s,-0.42542989101760664,0,5,0.0,0.0027808676307007787,-0.0027808676307007787
1993,witch,-0.42542989101760664,0,5,0.0,0.0027808676307007787,-0.0027808676307007787
1993,beach,-0.42542989101760664,0,5,0.0,0.0027808676307007787,-0.0027808676307007787
1993,coming_of_age,-0.42542989101760664,0,5,0.0,0.0027808676307007787,-0.0027808676307007787
1994,based_on_novel_or_book,1.1200653275688612,6,11,0.017699115044247787,0.006047278724573941,0.011651836319673845
1994,los_angeles,1.065376601231951,3,6,0.008849557522123894,0.003298515667949423,0.00555104185417447
1994,california,1.0502997872033992,4,8,0.011799410029498525,0.0043980208905992305,0.007401389138899294
1994,neo-noir,0.7259370033829358,2,6,0.0058997050147492625,0.003298515667949423,0.0026011893467998396
1994,friendship,0.6842313500097861,3,9,0.008849557522123894,0.004947773501924134,0.0039017840201997596
1994,loss_of_loved_one,0.5822845877481351,2,7,0.0058997050147492625,0.0038482682792743265,0.002051436735474936
1994,slapstick_comedy,0.5809798098339511,1,4,0.0029498525073746312,0.0021990104452996153,0.000750842062075016
1994,usa,0.5809798098339511,1,4,0.0029498525073746312,0.0021990104452996153,0.000750842062075016
1994,china,0.5809798098339511,1,4,0.0029498525073746312,0.0021990104452996153,0.000750842062075016
1994,investigation,0.5809798098339511,1,4,0.0029498525073746312,0.0021990104452996153,0.000750842062075016
1994,musical,0.5809798098339511,1,4,0.0029498525073746312,0.0021990104452996153,0.000750842062075016
1994,sibling_relationship,0.5809798098339511,1,4,0.0029498525073746312,0.0021990104452996153,0.000750842062075016
1994,sequel,0.3797581501705345,1,5,0.0029498525073746312,0.002748763056624519,0.00020108945075011236
1994,france,0.3797581501705345,1,5,0.0029498525073746312,0.002748763056624519,0.00020108945075011236
1994,kidnapping,0.3797581501705345,1,5,0.0029498525073746312,0.002748763056624519,0.00020108945075011236
1994,based_on_comic,0.2121527975772004,1,6,0.0029498525073746312,0.003298515667949423,-0.00034866316057479167
1994,parent_child_relationship,0.2121527975772004,1,6,0.0029498525073746312,0.003298515667949423,-0.00034866316057479167
1994,superhero,0.2121527975772004,1,6,0.0029498525073746312,0.003298515667949423,-0.00034866316057479167
1994,christmas,0.2121527975772004,1,6,0.0029498525073746312,0.003298515667949423,-0.00034866316057479167
1994,family,0.06850038194239971,1,7,0.0029498525073746312,0.0038482682792743265,-0.0008984157718996953
1994,action_hero,0.06850038194239971,1,7,0.0029498525073746312,0.0038482682792743265,-0.0008984157718996953
1994,holiday,-0.05721463740530375,1,8,0.0029498525073746312,0.0043980208905992305,-0.0014481683832245993
1994,murder,-0.05721463740530375,1,8,0.0029498525073746312,0.0043980208905992305,-0.0014481683832245993
1994,revenge,-0.5946147929531813,1,14,0.0029498525073746312,0.007696536558548653,-0.004746684051174022
1994,daughter,-0.7218039931439968,0,5,0.0,0.002748763056624519,-0.002748763056624519
1994,psychopath,-0.7218039931439968,0,5,0.0,0.002748763056624519,-0.002748763056624519
1994,anime,-0.7218039931439968,0,5,0.0,0.002748763056624519,-0.002748763056624519
1994,mythology,-0.7218039931439968,0,5,0.0,0.002748763056624519,-0.002748763056624519
1994,magic,-0.7218039931439968,0,5,0.0,0.002748763056624519,-0.002748763056624519
1994,drugs,-0.7218039931439968,0,5,0.0,0.002748763056624519,-0.002748763056624519
1995,detective,1.5085898747059305,3,4,0.008426966292134831,0.001943634596695821,0.00648333169543901
1995,christmas,1.4210938237445383,2,3,0.0056179775280898875,0.0014577259475218659,0.004160251580568022
1995,flashback,1.1692927774491633,2,4,0.0056179775280898875,0.001943634596695821,0.0036743429313940666
1995,rescue,1.1692927774491633,2,4,0.0056179775280898875,0.001943634596695821,0.0036743429313940666
1995,friends,1.1692927774491633,2,4,0.0056179775280898875,0.001943634596695821,0.0036743429313940666
1995,based_on_comic,1.1692927774491633,2,4,0.0056179775280898875,0.001943634596695821,0.0036743429313940666
1995,neo-noir,1.1692927774491633,2,4,0.0056179775280898875,0.001943634596695821,0.0036743429313940666
1995,police,0.9681352270601611,2,5,0.0056179775280898875,0.0024295432458697765,0.003188434282220111
1995,friendship,0.6570058772419491,2,7,0.0056179775280898875,0.003401360544217687,0.0022166169838722005
1995,shootout,0.6556502504120587,1,4,0.0028089887640449437,0.001943634596695821,0.0008653541673491227
1995,pets,0.6556502504120587,1,4,0.0028089887640449437,0.001943634596695821,0.0008653541673491227
1995,1990s,0.6556502504120587,1,4,0.0028089887640449437,0.001943634596695821,0.0008653541673491227
1995,psychopath,0.45449270002305653,1,5,0.0028089887640449437,0.0024295432458697765,0.0003794455181751672
1995,dog,0.45449270002305653,1,5,0.0028089887640449437,0.0024295432458697765,0.0003794455181751672
1995,remake,0.45449270002305653,1,5,0.0028089887640449437,0.0024295432458697765,0.0003794455181751672
1995,paranoia,0.45449270002305653,1,5,0.0028089887640449437,0.0024295432458697765,0.0003794455181751672
1995,good_versus_evil,0.45449270002305653,1,5,0.0028089887640449437,0.0024295432458697765,0.0003794455181751672
1995,jealousy,0.2869515232898605,1,6,0.0028089887640449437,0.0029154518950437317,-0.00010646313099878799
1995,high_school,0.2869515232898605,1,6,0.0028089887640449437,0.0029154518950437317,-0.00010646313099878799
1995,serial_killer,0.2869515232898605,1,6,0.0028089887640449437,0.0029154518950437317,-0.00010646313099878799
1995,action_hero,0.2869515232898605,1,6,0.0028089887640449437,0.0029154518950437317,-0.00010646313099878799
1995,florida,0.2869515232898605,1,6,0.0028089887640449437,0.0029154518950437317,-0.00010646313099878799
1995,california,0.14374003752617526,2,12,0.0056179775280898875,0.0058309037900874635,-0.00021292626199757598
1995,dystopia,0.1433633502048446,1,7,0.0028089887640449437,0.003401360544217687,-0.0005923717801727432
1995,revenge,-0.09400079979723408,1,9,0.0028089887640449437,0.004373177842565598,-0.001564189078520654
1995,los_angeles,-0.19457230131168313,1,10,0.0028089887640449437,0.004859086491739553,-0.0020500977276946093
1995,martial_arts,-0.19457230131168313,1,10,0.0028089887640449437,0.004859086491739553,-0.0020500977276946093
1995,sequel,-0.19457230131168313,1,10,0.0028089887640449437,0.004859086491739553,-0.0020500977276946093
