year,n_top20,n_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,share_any_top20,share_any_21_100,gap_any,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,mean_metric_top20,mean_metric_21_100,median_metric_top20,median_metric_21_100,n_top50,n_51_100,mean_polkw_top50,mean_polkw_51_100,gap_polkw_50,share_any_top50,share_any_51_100
1982,20,50,1.35,0.5,0.8500000000000001,0.45,0.3,0.15000000000000002,0.07436465933447357,0.05035542235542235,0.024009236979051225,14.5,9.24,5.26,122576532.4,12084894.88,74212616.5,11517408.5,50,20,0.8,0.6,0.20000000000000007,0.34,0.35
1983,20,61,1.05,0.4918032786885246,0.5581967213114755,0.45,0.2786885245901639,0.1713114754098361,0.0958041885015569,0.06205974925332383,0.033744439248233074,9.35,7.39344262295082,1.9565573770491795,114120250.15,11930267.360655738,70936976.5,10375893.0,50,31,0.72,0.4838709677419355,0.23612903225806448,0.36,0.25806451612903225
1984,20,68,0.55,0.6911764705882353,-0.14117647058823524,0.45,0.36764705882352944,0.08235294117647057,0.0479324761178308,0.08830499414181804,-0.04037251802398724,13.9,9.779411764705882,4.120588235294118,107445597.55,14491505.294117646,74096267.0,11604134.5,50,38,0.68,0.631578947368421,0.04842105263157903,0.38,0.39473684210526316
1985,20,80,1.8,0.5125,1.2875,0.7,0.2875,0.4125,0.1413061968082252,0.05332465173070824,0.08798154507751696,14.9,8.65,6.25,118224335.65,15528730.1,65048336.5,12659429.0,50,50,1.1,0.44,0.6600000000000001,0.48,0.26
1986,20,80,0.9,0.75,0.15000000000000002,0.35,0.4125,-0.0625,0.06464798850574713,0.0805294480659183,-0.015881459560171174,13.1,10.0,3.0999999999999996,113261771.9,16830330.8,82179970.5,12306212.5,50,50,1.04,0.52,0.52,0.44,0.36
1987,20,80,1.85,0.825,1.0250000000000001,0.55,0.35,0.20000000000000007,0.13632089079650997,0.07803558905304894,0.05828530174346103,14.45,9.8375,4.612499999999999,123157522.75,19715132.2875,78720264.0,15604658.0,50,50,1.44,0.62,0.82,0.48,0.3
1988,20,80,0.75,0.6,0.15000000000000002,0.3,0.35,-0.04999999999999999,0.052031831472620936,0.06078544005014593,-0.008753608577524996,13.05,9.375,3.6750000000000007,149851875.75,20134780.1875,122070511.0,14901596.0,50,50,0.84,0.42,0.42,0.42,0.26
1989,20,80,0.85,0.725,0.125,0.45,0.325,0.125,0.06704598506069094,0.09023585819560631,-0.02318987313491537,13.45,9.4875,3.9624999999999986,199269817.35,23934007.6625,160595122.0,15552307.0,50,50,0.98,0.52,0.45999999999999996,0.44,0.26
1990,20,80,1.3,0.6,0.7000000000000001,0.55,0.3875,0.16250000000000003,0.08386290670114199,0.08115553360038655,0.0027073731007554447,16.1,8.8625,7.237500000000001,222313640.65,23758706.3,201235165.5,16945687.0,50,50,0.92,0.56,0.36,0.48,0.36
1991,20,80,1.15,0.5375,0.6124999999999999,0.55,0.3375,0.21250000000000002,0.06978354978354977,0.06454386123136123,0.005239688552188537,13.4,8.3125,5.0875,194379032.8,23661517.375,177016398.0,16365871.0,50,50,0.76,0.56,0.19999999999999996,0.4,0.36
1992,20,80,1.4,0.6125,0.7874999999999999,0.5,0.3625,0.1375,0.08485431235431236,0.07666346259416912,0.00819084976014324,13.4,8.775,4.625,229228683.45,28570510.5875,180574455.0,21547352.0,50,50,1.08,0.46,0.6200000000000001,0.48,0.3
1993,20,80,1.5,0.4625,1.0375,0.65,0.2125,0.4375,0.15098162948162952,0.0479904396558775,0.10299118982575202,12.45,9.5875,2.862499999999999,242843412.1,32743130.3375,186132612.0,24431966.0,50,50,1.02,0.32,0.7,0.46,0.14
1994,20,80,1.5,0.6125,0.8875,0.45,0.325,0.125,0.07215007215007213,0.06320240526883529,0.00894766688123684,16.95,10.125,6.824999999999999,274723850.5,34952458.4125,214951403.0,24937309.5,50,50,1.0,0.58,0.42000000000000004,0.4,0.3
1995,20,80,1.1,0.65,0.45000000000000007,0.4,0.3375,0.0625,0.05795238095238096,0.05393984492326411,0.004012536029116845,17.8,9.9,7.9,260983874.4,50152755.55,258478425.0,31229533.5,50,50,0.86,0.62,0.24,0.38,0.32
1996,20,80,2.05,0.9,1.15,0.65,0.4375,0.21250000000000002,0.11405580015100139,0.08924207776512723,0.024813722385874162,16.5,9.6875,6.8125,274660895.3,44891844.825,237135993.5,32354711.5,50,50,1.66,0.6,1.06,0.6,0.36
1997,20,80,2.05,1.3625,0.6874999999999998,0.5,0.5,0.0,0.0970521914307493,0.09605348806315878,0.0009987033675905171,19.75,11.4625,8.2875,387836380.25,63333366.9375,255281111.5,43770867.5,50,50,1.88,1.12,0.7599999999999998,0.56,0.44
