keyword,count,cum_count,cum_share
hacker,54,76319,0.42816188680938916
fighting,54,76373,0.42846483551007586
car_race,54,76427,0.42876778421076256
king,54,76481,0.4290707329114492
interracial_relationship,54,76535,0.4293736816121359
survival_horror,54,76589,0.4296766303128226
sniper,54,76643,0.42997957901350925
wheelchair,54,76697,0.43028252771419595
agent,54,76751,0.43058547641488265
boyfriend_girlfriend_relationship,54,76805,0.4308884251155693
lie,54,76859,0.431191373816256
new_year's_eve,54,76913,0.4314943225169427
civil_war,53,76966,0.4317916610565055
painting,53,77019,0.4320889995960684
strip_club,53,77072,0.43238633813563127
high_school_student,53,77125,0.4326836766751941
disguise,53,77178,0.43298101521475696
illness,53,77231,0.43327835375431983
boxing,53,77284,0.43357569229388265
madrid,53,77337,0.4338730308334455
undercover_agent,53,77390,0.4341703693730084
older_woman_younger_man_relationship,53,77443,0.4344677079125712
virtual_reality,52,77495,0.43475943629101027
spirit,52,77547,0.4350511646694493
circus,52,77599,0.4353428930478883
murder_mystery,52,77651,0.43563462142632736
knife,52,77703,0.4359263498047664
marriage_proposal,52,77755,0.4362180781832054
femme_fatale,52,77807,0.43650980656164445
kiss,52,77859,0.4368015349400835
poison,52,77911,0.4370932633185225
child_kidnapping,52,77963,0.43738499169696154
wealth,52,78015,0.43767672007540054
comedian,52,78067,0.4379684484538396
redemption,51,78118,0.4382545666711548
journey,51,78169,0.43854068488847
cave,51,78220,0.4388268031057852
afterlife,51,78271,0.4391129213231004
queen,51,78322,0.4393990395404156
steampunk,51,78373,0.4396851577577308
government,51,78424,0.439971275975046
mass_murder,51,78475,0.4402573941923612
treasure,51,78526,0.44054351240967643
treasure_hunt,51,78577,0.4408296306269916
end_of_the_world,51,78628,0.4411157488443068
stripper,51,78679,0.441401867061622
gas_station,51,78730,0.4416879852789372
surreal,51,78781,0.44197410349625244
video_nasty,51,78832,0.4422602217135676
mission,50,78882,0.442540729769759
manipulation,50,78932,0.44282123782595034
autism,50,78982,0.44310174588214174
bounty_hunter,50,79032,0.4433822539383331
europe,50,79082,0.4436627619945245
court,50,79132,0.4439432700507159
ghetto,50,79182,0.4442237781069072
shotgun,50,79232,0.4445042861630986
cowboy,50,79282,0.44478479421928996
one_man_army,50,79332,0.44506530227548136
shark_attack,50,79382,0.4453458103316727
art,50,79432,0.4456263183878641
house,50,79482,0.4459068264440555
birthday,50,79532,0.44618733450024683
technology,49,79581,0.4464622323953144
adolescence,49,79630,0.4467371302903819
israel,49,79679,0.4470120281854495
fairy,49,79728,0.447286926080517
norway,49,79777,0.4475618239755846
doppelgänger,49,79826,0.4478367218706521
girlfriend,49,79875,0.44811161976571967
maniac,49,79924,0.44838651766078724
teenage_crush,48,79972,0.44865580539473093
buddy,48,80020,0.4489250931286747
resistance,48,80068,0.44919438086261837
madness,48,80116,0.4494636685965621
underdog,48,80164,0.4497329563305058
earthquake,48,80212,0.45000224406444955
drug_lord,48,80260,0.45027153179839324
police_detective,48,80308,0.450540819532337
heroin,48,80356,0.4508101072662807
brothel,48,80404,0.4510793950002244
punk_rock,48,80452,0.4513486827341681
haunting,48,80500,0.45161797046811186
babysitter,48,80548,0.45188725820205555
screwball_comedy,48,80596,0.4521565459359993
knight,48,80644,0.452425833669943
breaking_the_fourth_wall,47,80691,0.4526895112427629
brooklyn,47,80738,0.4529531888155828
love_at_first_sight,47,80785,0.4532168663884027
immortality,47,80832,0.45348054396122256
wife,47,80879,0.4537442215340425
grandparent_grandchild_relationship,47,80926,0.45400789910686234
urban_setting,47,80973,0.45427157667968227
letter,47,81020,0.45453525425250213
bully,47,81067,0.45479893182532205
newspaper,47,81114,0.4550626093981419
cabin,47,81161,0.4553262869709618
airport,47,81208,0.4555899645437817
countryside,47,81255,0.45585364211660157
witchcraft,47,81302,0.4561173196894215
debt,47,81349,0.45638099726224135
career,47,81396,0.45664467483506127
chaos,46,81442,0.4569027422467573
slavery,46,81488,0.4571608096584534
revolution,46,81534,0.45741887707014944
child_murder,46,81580,0.45767694448184554
bear,46,81626,0.4579350118935416
supernatural_horror,46,81672,0.45819307930523767
aids,46,81718,0.4584511467169337
orphanage,46,81764,0.45870921412862975
narration,46,81810,0.45896728154032584
ocean,46,81856,0.4592253489520219
archaeologist,46,81902,0.459483416363718
politician,46,81948,0.459741483775414
outlaw,46,81994,0.4599995511871101
medieval,46,82040,0.46025761859880615
sexual_abuse,46,82086,0.46051568601050225
bisexuality,46,82132,0.4607737534221983
gothic_horror,46,82178,0.4610318208338943
drinking,46,82224,0.4612898882455904
unemployment,46,82270,0.46154795565728646
shipwreck,45,82315,0.4618004129078587
inventor,45,82360,0.46205287015843094
combat,45,82405,0.4623053274090032
stalking,45,82450,0.4625577846595754
memory_loss,45,82495,0.46281024191014764
monkey,45,82540,0.4630626991607199
based_on_graphic_novel,45,82585,0.4633151564112921
diner,45,82630,0.4635676136618644
mythology,45,82675,0.4638200709124366
lgbt_teen,45,82720,0.46407252816300887
vietnam,45,82765,0.4643249854135811
austria,45,82810,0.4645774426641533
wolf,45,82855,0.46482989991472556
16th_century,45,82900,0.4650823571652978
middle_ages_(476-1453),45,82945,0.46533481441587005
unrequited_love,45,82990,0.46558727166644226
philosophy,44,83034,0.46583411875589065
vietnam_veteran,44,83078,0.4660809658453391
boarding_school,44,83122,0.4663278129347875
clown,44,83166,0.4665746600242359
working_class,44,83210,0.4668215071136843
coma,44,83254,0.4670683542031327
