keyword,count,is_political,matched_rule
live_performance,36,False,
birthday_party,35,True,institutions_elections_law
con_man,35,False,
cover-up,35,False,
reboot,35,False,
black_magic,35,False,
spider,35,False,
lion,35,False,
emperor,35,False,
philadelphia,35,False,
coffin,35,False,
swordplay,35,False,
based_on_movie,35,False,
ambush,35,False,
homicide,35,False,
lovesickness,35,False,
children_in_wartime,35,False,
killing,35,False,
date,35,False,
patriotism,35,False,
family_conflict,35,False,
hawaii,35,False,
teen_comedy,35,False,
confession,35,False,
new_england,35,False,
folk_horror,35,False,
camp,35,False,
nanny,35,False,
movie_star,35,False,
justice,35,False,
northern_england,35,False,
truck,35,False,
ex-cop,35,False,
jidaigeki,35,False,
beautiful_woman,35,False,
drag_queen,35,False,
super_villain,34,False,
food,34,False,
telekinesis,34,False,
tattoo,34,False,
dark_fantasy,34,False,
cuba,34,False,
ex-girlfriend,34,False,
cowardliness,34,False,
abduction,34,False,
nerd,34,False,
anger,34,False,
ufo,34,False,
catholicism,34,False,
drug_smuggling,34,False,
carnival,34,False,
interrogation,34,False,
spaghetti_western,34,False,
asylum,34,True,migration_police_civilrights
talking_dog,34,False,
firefighter,34,False,
gunslinger,34,False,
paranormal,34,False,
snuff,34,False,
yorkshire,34,False,
wrestling,34,False,
cross_dressing,34,False,
historical,34,False,
cooking,34,False,
true_crime,34,False,
runaway,34,False,
concert_film,34,False,
self_sacrifice,33,False,
uncle,33,False,
bravery,33,False,
game,33,False,
traitor,33,False,
smuggling_(contraband),33,False,
roman_empire,33,False,
ancient_rome,33,False,
audition,33,False,
ohio,33,False,
little_girl,33,False,
fascism,33,False,
sherlock_holmes,33,False,
upper_class,33,False,
masturbation,33,False,
natural_disaster,33,False,
pimp,33,False,
death_of_father,33,False,
execution,33,False,
underground,33,False,
boys'_love_(bl),33,False,
based_on_myths,33,False,
legends_or_folklore,33,False,
kgb,33,True,war_security_intel
homeless_person,33,False,
godzilla,33,False,
quarantine,33,False,
maid,33,False,
basement,33,False,
english_countryside,33,False,
rap_music,33,False,
in_the_closet,33,False,
humiliation,33,False,
manhunt,33,False,
psychic,33,False,
drunkenness,33,False,
religious_fundamentalism,33,False,
truck_driver,33,False,
policeman,33,False,
drifter,33,False,
beer,33,False,
sports_documentary,33,False,
anti_war,32,True,war_security_intel
pianist,32,False,
sign_languages,32,False,
honeymoon,32,False,
pop_star,32,False,
schizophrenia,32,False,
