year,n_ranked_matched,n_top20_matched,n_21_100_matched,mean_domestic_top20,mean_domestic_21_100,median_domestic_top20,median_domestic_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,share_any_top20,share_any_21_100
1996,97,20,77,129652963.7,31181770.532467533,107127605.0,25857416.0,1.85,1.0389610389610389,0.8110389610389612,0.09405580015100137,0.09798789578696289,-0.003932095635961516,15.5,10.220779220779221,5.279220779220779,0.55,0.4935064935064935
1997,94,19,75,241256141.68421054,38839954.053333335,138433435.0,36400360.0,1.6842105263157894,1.4,0.28421052631578947,0.07938925428688737,0.092872824543355,-0.013483570256467639,17.63157894736842,11.666666666666666,5.964912280701755,0.3684210526315789,0.49333333333333335
1998,90,19,71,293377844.31578946,61736717.15492958,264118201.0,46733235.0,1.5263157894736843,0.8450704225352113,0.681245366938473,0.08228394873824235,0.06630985183648992,0.01597409690175243,14.526315789473685,11.492957746478874,3.033358042994811,0.47368421052631576,0.4507042253521127
1999,94,20,74,327943096.6,69471238.82432432,242061051.5,57885222.5,0.85,0.7837837837837838,0.0662162162162162,0.04874925361994327,0.06649618653374881,-0.017746932913805538,16.05,10.986486486486486,5.063513513513515,0.5,0.36486486486486486
2000,95,19,76,309572588.5263158,82134170.17105263,291420351.0,67343067.5,0.8947368421052632,0.7631578947368421,0.13157894736842102,0.07469621022252601,0.06754556481530165,0.0071506454072243625,13.31578947368421,11.342105263157896,1.973684210526315,0.47368421052631576,0.39473684210526316
2001,94,19,75,364942981.94736844,85668951.98666666,347325802.0,74558115.0,0.7894736842105263,0.8,-0.010526315789473717,0.05199224610174586,0.07881918243760348,-0.026826936335857622,15.947368421052632,10.306666666666667,5.640701754385965,0.47368421052631576,0.37333333333333335
2002,96,20,76,418629391.7,92924696.0,355243619.0,77684998.5,1.5,1.105263157894737,0.39473684210526305,0.0929502442002442,0.09160823681191055,0.0013420073883336492,16.25,12.171052631578947,4.078947368421053,0.7,0.4868421052631579
2003,95,18,77,425220701.0,105926596.50649351,269334147.0,90941129.0,1.3333333333333333,0.8831168831168831,0.4502164502164502,0.06017812540801047,0.07831689812573758,-0.01813877271772711,19.11111111111111,11.779220779220779,7.331890331890332,0.5555555555555556,0.4805194805194805
2004,93,20,73,440273525.9,104668541.57534246,357939089.0,96572480.0,1.1,0.7945205479452054,0.30547945205479465,0.06104085457026633,0.06747851999278,-0.006437665422513665,18.05,12.178082191780822,5.8719178082191785,0.5,0.4383561643835616
2005,99,20,79,419335036.05,98061613.15189873,352565072.0,92884429.0,0.55,0.9493670886075949,-0.39936708860759484,0.038683971612360354,0.07238569591302384,-0.03370172430066348,13.55,12.987341772151899,0.562658227848102,0.45,0.4177215189873418
