year,bucket,n_top20,n_21_100,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_totalkw_top20,mean_totalkw_21_100
2013,non_action,8,47,0.028409090909090908,0.051877283473028155,-0.023468192563937246,0.625,0.44680851063829785,0.17819148936170215,12.5,9.042553191489361
2014,action,15,21,0.08497835497835497,0.1515437403031388,-0.06656538532478383,1.0666666666666667,1.7142857142857142,-0.6476190476190475,13.6,10.904761904761905
2014,non_action,5,51,0.051634615384615376,0.05598135480772746,-0.004346739423112082,0.8,0.5490196078431373,0.25098039215686274,15.8,9.156862745098039
2015,action,9,29,0.0819704986371653,0.1269162286988374,-0.0449457300616721,0.6666666666666666,1.0689655172413792,-0.4022988505747126,9.777777777777779,9.0
2015,non_action,9,40,0.02821869488536155,0.05867547326433268,-0.03045677837897113,0.2222222222222222,0.925,-0.7027777777777778,12.777777777777779,10.2
2016,action,10,30,0.032499999999999994,0.10775132275132274,-0.07525132275132274,0.4,0.9333333333333333,-0.5333333333333333,11.1,9.066666666666666
2016,non_action,10,41,0.016083916083916083,0.041612517756518363,-0.02552860167260228,0.4,0.5609756097560976,-0.1609756097560976,13.5,10.609756097560975
2017,action,14,28,0.04182278972194938,0.12014882427778353,-0.07832603455583415,0.7142857142857143,0.9642857142857143,-0.25,11.0,8.75
2017,non_action,5,42,0.0,0.05062726105729957,-0.05062726105729957,0.0,0.47619047619047616,-0.47619047619047616,12.8,9.404761904761905
2018,action,13,25,0.045427978883861235,0.07738155564242521,-0.03195357675856398,0.5384615384615384,0.84,-0.30153846153846153,12.153846153846153,9.12
2018,non_action,7,45,0.010416666666666666,0.04752348918417785,-0.037106822517511184,0.14285714285714285,0.5555555555555556,-0.41269841269841273,8.142857142857142,10.244444444444444
2019,action,7,26,0.03571428571428571,0.09756735421441302,-0.06185306850012731,0.42857142857142855,1.0,-0.5714285714285714,11.571428571428571,9.307692307692308
2019,non_action,12,45,0.0,0.044513467201554975,-0.044513467201554975,0.0,0.4,-0.4,10.0,10.044444444444444
2021,action,9,23,0.05909090909090909,0.07121840148155938,-0.012127492390650287,0.5555555555555556,0.6521739130434783,-0.09661835748792269,10.222222222222221,7.869565217391305
2021,non_action,9,34,0.15353601394791327,0.03593073593073593,0.11760527801717735,0.8888888888888888,0.38235294117647056,0.5065359477124183,12.0,9.205882352941176
2022,action,13,25,0.04053724053724054,0.0943116883116883,-0.053774447774447766,0.3076923076923077,0.88,-0.5723076923076923,9.153846153846153,8.92
2022,non_action,6,38,0.047619047619047616,0.024249295735363847,0.02336975188368377,0.8333333333333334,0.3684210526315789,0.46491228070175444,11.333333333333334,12.789473684210526
2023,action,10,16,0.013333333333333332,0.09895833333333334,-0.085625,0.2,0.625,-0.425,12.6,8.1875
2023,non_action,5,27,0.04533333333333334,0.01705455038788372,0.028278782945449617,1.0,0.3333333333333333,0.6666666666666667,13.2,14.037037037037036
