keyword,count,cum_count,cum_share
everglades,22,1881683,0.9007733019812691
cleaning,22,1881705,0.9007838335174756
resentment,22,1881727,0.9007943650536822
guerilla_filmmaking,22,1881749,0.9008048965898886
tattoo_artist,22,1881771,0.900815428126095
baker,22,1881793,0.9008259596623015
serious,22,1881815,0.900836491198508
hate,22,1881837,0.9008470227347144
deceived_wife,22,1881859,0.9008575542709208
con,22,1881881,0.9008680858071274
conversion_therapy,22,1881903,0.9008786173433339
run_away,22,1881925,0.9008891488795403
burial,22,1881947,0.9008996804157468
syphilis,22,1881969,0.9009102119519532
palermo,22,1881991,0.9009207434881596
alternative_reality,22,1882013,0.9009312750243661
tomato,22,1882035,0.9009418065605727
lesbian_couple,22,1882057,0.9009523380967791
che_guevara,22,1882079,0.9009628696329856
murder_case,22,1882101,0.900973401169192
worship,22,1882123,0.9009839327053984
laos,22,1882145,0.9009944642416049
presumed_dead,22,1882167,0.9010049957778113
single_take,22,1882189,0.9010155273140179
young_women,22,1882211,0.9010260588502244
french_canadian,22,1882233,0.9010365903864308
final_exam,22,1882255,0.9010471219226373
the_nutcracker,22,1882277,0.9010576534588437
cycle,22,1882299,0.9010681849950501
car_racing,22,1882321,0.9010787165312566
children_gang,22,1882343,0.9010892480674632
smoke,22,1882365,0.9010997796036696
mill,22,1882387,0.901110311139876
casanova,22,1882409,0.9011208426760825
coastal_town,22,1882431,0.901131374212289
traveling_salesman,22,1882453,0.9011419057484954
bulimia,22,1882475,0.9011524372847018
flanders,22,1882497,0.9011629688209084
jewel_theft,22,1882519,0.9011735003571149
roadhouse,22,1882541,0.9011840318933213
independance_war,22,1882563,0.9011945634295278
witch_doctor,22,1882585,0.9012050949657342
concentration_camp_survivor,22,1882607,0.9012156265019406
lottery_ticket,22,1882629,0.9012261580381471
transplant,22,1882651,0.9012366895743537
castaway,22,1882673,0.9012472211105601
brazilian_humor,22,1882695,0.9012577526467666
sex_talk,22,1882717,0.901268284182973
woman_lawyer,22,1882739,0.9012788157191794
aborigine,22,1882761,0.9012893472553859
demolition,22,1882783,0.9012998787915923
kunoichi,22,1882805,0.9013104103277989
radio_host,22,1882827,0.9013209418640054
promotion,22,1882849,0.9013314734002118
fatal_accident,22,1882871,0.9013420049364183
years_of_lead,22,1882893,0.9013525364726247
south_sea_island,22,1882915,0.9013630680088311
television_broadcast,22,1882937,0.9013735995450376
psychadelic,22,1882959,0.9013841310812442
young_wife,22,1882981,0.9013946626174506
struggles,22,1883003,0.901405194153657
college_girls,22,1883025,0.9014157256898635
older_brother_younger_sister,22,1883047,0.90142625722607
tour_bus,22,1883069,0.9014367887622764
buddhist,22,1883091,0.9014473202984828
latin_music,22,1883113,0.9014578518346893
reno,22,1883135,0.9014683833708959
hand,22,1883157,0.9014789149071023
canal,22,1883179,0.9014894464433088
panic_attack,22,1883201,0.9014999779795152
class_reunion,22,1883223,0.9015105095157216
kino,22,1883245,0.9015210410519281
chinese_civil_war,22,1883267,0.9015315725881345
clothes,22,1883289,0.9015421041243411
honey,22,1883311,0.9015526356605476
cuban,22,1883333,0.901563167196754
old_people,22,1883355,0.9015736987329604
compulsive_gambling,22,1883377,0.9015842302691669
bookie,22,1883399,0.9015947618053733
time_lapse_photography,22,1883421,0.9016052933415798
new_technology,22,1883443,0.9016158248777864
handyman,22,1883465,0.9016263564139928
cousins,22,1883487,0.9016368879501993
indonesian,22,1883509,0.9016474194864057
watermelon,22,1883531,0.9016579510226121
polish,22,1883553,0.9016684825588186
canary_islands,22,1883575,0.901679014095025
sexual_exploitation,22,1883597,0.9016895456312316
women_in_prison,22,1883619,0.901700077167438
anatomy,22,1883641,0.9017106087036445
angola,22,1883663,0.901721140239851
child_with_autism,22,1883685,0.9017316717760574
trail,22,1883707,0.9017422033122638
wildlife_documentary,22,1883729,0.9017527348484703
winnipeg,22,1883751,0.9017632663846769
drag_racing,22,1883773,0.9017737979208833
paint_on_film,22,1883795,0.9017843294570898
goodbye,22,1883817,0.9017948609932962
atatürk,22,1883839,0.9018053925295026
cartoon_wolf,22,1883861,0.9018159240657091
sports_entertainment,22,1883883,0.9018264556019155
female_bodybuilder,22,1883905,0.9018369871381221
religion_and_spirituality,22,1883927,0.9018475186743286
japanese_occupation,22,1883949,0.901858050210535
breakfast,22,1883971,0.9018685817467414
strawberry,22,1883993,0.9018791132829479
minority,22,1884015,0.9018896448191543
holiday_romance,22,1884037,0.9019001763553608
skit,22,1884059,0.9019107078915674
corona_virus,22,1884081,0.9019212394277738
musical_adaptation,22,1884103,0.9019317709639803
whales,22,1884125,0.9019423025001867
alternative_lifestyle,22,1884147,0.9019528340363931
angels,22,1884169,0.9019633655725996
märchenperlen,22,1884191,0.901973897108806
lystspil,22,1884213,0.9019844286450126
traffic_safety,22,1884235,0.901994960181219
training_video,22,1884257,0.9020054917174255
health_and_safety,22,1884279,0.902016023253632
cine_telúrico,22,1884301,0.9020265547898384
luxembourg,22,1884323,0.9020370863260448
permaculture,22,1884345,0.9020476178622513
cisco_kid,22,1884367,0.9020581493984579
humanity_and_the_world_around_us,22,1884389,0.9020686809346643
metal_music,22,1884411,0.9020792124708708
opera_baroque,22,1884433,0.9020897440070772
animação,22,1884455,0.9021002755432836
country,22,1884477,0.9021108070794901
kurzfilm,22,1884499,0.9021213386156965
scare_film,22,1884521,0.9021318701519031
irish_film,22,1884543,0.9021424016881096
professional_wrestling,22,1884565,0.902152933224316
shakespeare,22,1884587,0.9021634647605224
brazilian_poetry,22,1884609,0.9021739962967289
jesus,22,1884631,0.9021845278329353
avant_garde_film,22,1884653,0.9021950593691418
throatfuck,22,1884675,0.9022055909053482
big_butts,22,1884697,0.9022161224415548
space_colony,21,1884718,0.90222617527157
optimism,21,1884739,0.9022362281015853
well,21,1884760,0.9022462809316005
criminal_lawyer,21,1884781,0.9022563337616158
cynical,21,1884802,0.902266386591631
jail_cell,21,1884823,0.9022764394216464
industrialist,21,1884844,0.9022864922516616
multiple_perspectives,21,1884865,0.9022965450816769
sailing_ship,21,1884886,0.9023065979116921
pentagram,21,1884907,0.9023166507417074
conscientious_objector,21,1884928,0.9023267035717226
alien_race,21,1884949,0.9023367564017379
arrogance,21,1884970,0.9023468092317531
golden_gate_bridge,21,1884991,0.9023568620617685
atlantic_city,21,1885012,0.9023669148917837
postcard,21,1885033,0.902376967721799
underground_world,21,1885054,0.9023870205518142
police_academy,21,1885075,0.9023970733818295
high_school_rivalry,21,1885096,0.9024071262118447
relatives,21,1885117,0.90241717904186
