keyword,count,is_political,matched_rule
climbing,372,False,
quebec,371,False,
rock_band,370,False,
holocaust_(shoah),369,False,
crime,369,False,
faith,367,False,
sex,365,False,
church,365,False,
thailand,365,False,
best_friend,363,False,
teacher_student_relationship,363,False,
cannibal,362,False,
movie_serial,362,False,
drug_dealer,361,False,
ireland,361,False,
dysfunctional_family,360,False,
army,359,True,war_security_intel
florida,359,False,
shootout,353,False,
immigrant,353,True,migration_police_civilrights
nostalgia,350,False,
rock_music,350,False,
painting,349,False,
short_compilation,349,False,
tit_fucking,349,False,
period_drama,347,False,
sexuality,347,False,
chase,346,False,
bible,346,False,
social_&_cultural_documentary,346,False,
trauma,344,False,
homophobia,343,False,
sea,343,False,
reporter,343,False,
alcohol,343,False,
abstract,343,False,
snow,341,False,
stalker,341,False,
takarazuka,341,False,
love_affair,340,False,
thief,340,False,
ufo,340,False,
airplane,339,False,
illinois,336,False,
espionage,336,True,war_security_intel
santa_claus,336,False,
preserved_film,335,False,
apocalypse,334,False,
fire,334,False,
addiction,332,False,
fbi,331,True,war_security_intel
chicago,331,False,
mad_scientist,330,False,
eroticism,330,False,
american_football,329,False,
gay_erotica,329,False,
funeral,328,False,
baby,328,False,
san_francisco,327,False,
pirate,327,False,
horror_comedy,327,False,
south_africa,326,False,
historical,326,False,
algeria,326,False,
father,325,False,
vhs,324,False,
brother,323,False,
older_woman_younger_woman_relationship,323,False,
finland,323,False,
erotic_vignettes,323,False,
single_mother,322,False,
inheritance,322,False,
marijuana,321,False,
puppet,321,False,
live_music,321,False,
hostage,320,True,war_security_intel
bank_robbery,320,True,economy_finance_crisis
sister,320,False,
refugee,320,True,migration_police_civilrights
disability,319,False,
castle,318,False,
pandemic,318,False,
child_abuse,317,False,
restaurant,317,False,
communism,316,True,inequality_corruption_elites
mystery,315,False,
fitness,315,False,
experimental_film,315,False,
rescue,314,False,
amnesia,314,False,
deep_throat,314,False,
missing_person,313,False,
cold_war,313,True,war_security_intel
bisexuality,313,False,
vacation,312,False,
cheerleader,311,False,
sport,311,False,
new_zealand,310,False,
filmed_theater,310,False,
essay_film,310,False,
ocean,309,False,
christian_film,309,False,
society,308,False,
1920s,308,False,
twins,308,False,
